Rank,Team,GM,W-L,FT,FTA,FT%
1,Wisconsin (Big Ten),31,23-8,514,615,83.6
2,Villanova (Big East),31,18-13,382,471,81.1
3,Gonzaga (WCC),31,23-8,489,609,80.3
4,UTSA (The American),30,12-18,429,535,80.2
5,UC Irvine (Big West),32,27-5,546,681,80.2
6,Oklahoma (SEC),31,19-12,547,686,79.7
7,Lipscomb (ASUN),34,25-9,483,608,79.4
8,Xavier (Big East),31,21-10,521,657,79.3
9,UConn (Big East),31,22-9,442,559,79.1
10,Colorado St. (Mountain West),31,22-9,411,520,79
11,Valparaiso (MVC),34,15-19,530,671,79
12,Richmond (Atlantic 10),31,10-21,419,531,78.9
13,Michigan St. (Big Ten),31,26-5,542,687,78.9
14,Oregon St. (WCC),32,20-12,525,668,78.6
15,Stanford (ACC),31,19-12,432,550,78.5
16,Duke (ACC),31,28-3,455,580,78.4
17,Green Bay (Horizon),32,4-28,494,630,78.4
18,Arizona (Big 12),31,20-11,550,702,78.3
19,Delaware (CAA),34,15-19,454,580,78.3
20,Pittsburgh (ACC),31,17-14,487,624,78
21,UCF (Big 12),31,16-15,544,698,77.9
22,Eastern Wash. (Big Sky),32,10-22,431,554,77.8
23,Boise St. (Mountain West),31,22-9,530,682,77.7
24,Portland (WCC),32,12-20,452,582,77.7
25,North Dakota St. (Summit League),32,21-11,473,610,77.5
26,North Texas (The American),30,23-7,438,566,77.4
27,Texas Tech (Big 12),31,24-7,424,548,77.4
28,Bellarmine (ASUN),31,5-26,343,444,77.3
29,UMass Lowell (America East),32,17-15,485,628,77.2
30,Jacksonville St. (CUSA),31,20-11,437,566,77.2
31,Campbell (CAA),32,15-17,422,547,77.1
32,CSU Bakersfield (Big West),32,14-18,504,654,77.1
33,Cal Poly (Big West),32,14-18,416,542,76.8
34,Chattanooga (SoCon),33,24-9,445,580,76.7
35,Harvard (Ivy League),27,12-15,293,382,76.7
36,Manhattan (MAAC),29,17-12,419,547,76.6
37,Clemson (ACC),31,26-5,391,511,76.5
38,Miami (FL) (ACC),31,7-24,373,488,76.4
39,UC Santa Barbara (Big West),31,19-12,385,504,76.4
40,Oregon (Big Ten),31,23-8,471,617,76.3
41,High Point (Big South),34,29-5,561,735,76.3
42,Radford (Big South),33,20-13,551,722,76.3
43,Kent St. (MAC),31,21-10,431,565,76.3
44,Kansas City (Summit League),33,13-20,464,609,76.2
45,Tulane (The American),31,18-13,470,617,76.2
46,VMI (SoCon),34,15-19,523,687,76.1
47,Norfolk St. (MEAC),31,21-10,516,678,76.1
48,Ohio (MAC),31,16-15,465,611,76.1
49,Louisiana Tech (CUSA),31,20-11,442,582,75.9
50,Canisius (MAAC),31,3-28,296,390,75.9
51,UAB (The American),31,20-11,478,630,75.9
52,Quinnipiac (MAAC),31,19-12,449,592,75.8
53,Illinois (Big Ten),31,20-11,518,683,75.8
54,American (Patriot),33,21-12,413,545,75.8
55,Iowa St. (Big 12),31,23-8,546,721,75.7
56,California Baptist (WAC),30,16-14,408,539,75.7
57,Wake Forest (ACC),31,21-10,472,624,75.6
58,Texas St. (Sun Belt),32,16-16,515,681,75.6
59,Long Beach St. (Big West),32,7-25,462,611,75.6
60,Penn St. (Big Ten),31,16-15,514,680,75.6
61,Bradley (MVC),34,26-8,450,596,75.5
62,Maryland (Big Ten),31,24-7,470,623,75.4
63,James Madison (Sun Belt),32,20-12,432,573,75.4
64,UC Riverside (Big West),32,21-11,411,546,75.3
65,Oral Roberts (Summit League),30,7-23,444,590,75.3
66,Idaho (Big Sky),31,13-18,440,585,75.2
67,Charlotte (The American),31,10-21,537,714,75.2
68,San Diego (WCC),33,6-27,463,616,75.2
69,Virginia (ACC),31,15-16,320,426,75.1
70,Purdue Fort Wayne (Horizon),32,19-13,417,556,75
70,Cornell (Ivy League),27,17-10,342,456,75
72,Vanderbilt (SEC),31,20-11,482,643,75
73,Eastern Ky. (ASUN),32,18-14,419,559,75
74,Southeastern La. (Southland),32,18-14,481,642,74.9
75,Colorado (Big 12),31,12-19,454,606,74.9
76,Indiana St. (MVC),32,14-18,486,649,74.9
77,Louisville (ACC),31,25-6,480,641,74.9
78,Illinois St. (MVC),33,19-14,410,548,74.8
79,Ohio St. (Big Ten),31,17-14,490,655,74.8
80,Nebraska (Big Ten),31,17-14,484,647,74.8
81,UC San Diego (Big West),32,28-4,457,611,74.8
82,Dayton (Atlantic 10),31,22-9,503,673,74.7
83,Bowling Green (MAC),31,14-17,455,609,74.7
84,South Dakota St. (Summit League),32,20-12,443,593,74.7
85,Akron (MAC),31,25-6,378,506,74.7
86,Maine (America East),32,19-13,375,502,74.7
87,Auburn (SEC),31,27-4,481,644,74.7
88,Elon (CAA),32,17-15,515,690,74.6
89,Texas (SEC),31,17-14,485,650,74.6
90,Stony Brook (CAA),32,8-24,414,555,74.6
91,Butler (Big East),31,13-18,487,653,74.6
92,Western Caro. (SoCon),30,8-22,378,507,74.6
93,California (ACC),31,13-18,539,723,74.6
94,Saint Joseph's (Atlantic 10),31,20-11,429,576,74.5
95,Davidson (Atlantic 10),31,16-15,387,520,74.4
96,VCU (Atlantic 10),31,25-6,451,606,74.4
97,Southern California (Big Ten),31,15-16,471,633,74.4
98,Kentucky (SEC),31,21-10,500,672,74.4
99,Dartmouth (Ivy League),27,14-13,374,503,74.4
100,UNCW (CAA),32,25-7,525,707,74.3
101,Central Conn. St. (NEC),31,25-6,340,458,74.2
102,Baylor (Big 12),31,18-13,432,582,74.2
103,Siena (MAAC),31,14-17,492,663,74.2
104,Monmouth (CAA),33,13-20,520,701,74.2
105,Notre Dame (ACC),31,14-17,425,573,74.2
106,Cal St. Fullerton (Big West),32,6-26,502,677,74.2
107,Creighton (Big East),31,22-9,369,498,74.1
108,Toledo (MAC),31,17-14,480,648,74.1
108,Idaho St. (Big Sky),29,15-14,440,594,74.1
110,IU Indy (Horizon),32,10-22,468,632,74.1
111,Denver (Summit League),32,11-21,444,600,74
112,UC Davis (Big West),31,15-16,483,653,74
113,North Carolina (ACC),32,20-12,497,672,74
114,Niagara (MAAC),31,11-20,377,510,73.9
115,Youngstown St. (Horizon),32,20-12,507,686,73.9
116,Mount St. Mary's (MAAC),31,19-12,405,548,73.9
117,Eastern Mich. (MAC),31,16-15,441,597,73.9
118,Saint Peter's (MAAC),28,12-16,401,543,73.8
119,Hawaii (Big West),31,15-16,480,650,73.8
120,Houston (Big 12),31,27-4,367,497,73.8
121,Temple (The American),31,17-14,601,814,73.8
122,Howard (MEAC),31,12-19,474,642,73.8
123,Northwestern (Big Ten),31,16-15,418,567,73.7
124,Ole Miss (SEC),31,21-10,493,669,73.7
125,Tennessee (SEC),31,25-6,433,588,73.6
126,Columbia (Ivy League),27,12-15,353,480,73.5
127,San Jose St. (Mountain West),32,14-18,414,563,73.5
128,Southern Utah (WAC),30,12-18,450,612,73.5
128,Stetson (ASUN),32,8-24,450,612,73.5
130,UNC Greensboro (SoCon),32,20-12,402,547,73.5
131,Yale (Ivy League),27,20-7,382,520,73.5
132,Detroit Mercy (Horizon),32,8-24,404,550,73.5
133,St. Bonaventure (Atlantic 10),31,21-10,389,531,73.3
134,Tarleton St. (WAC),31,12-19,487,665,73.2
135,Arkansas (SEC),31,19-12,465,635,73.2
136,Saint Francis (NEC),32,15-17,317,433,73.2
137,Purdue (Big Ten),31,21-10,439,600,73.2
138,Navy (Patriot),33,15-18,476,651,73.1
139,NJIT (America East),31,6-25,359,491,73.1
140,Texas Southern (SWAC),31,15-16,391,535,73.1
141,Colgate (Patriot),33,14-19,316,433,73
142,Montana (Big Sky),32,23-9,455,624,72.9
143,Louisiana (Sun Belt),33,12-21,422,579,72.9
144,Arkansas St. (Sun Belt),33,24-9,514,706,72.8
145,Delaware St. (MEAC),29,16-13,447,614,72.8
146,Oklahoma St. (Big 12),31,15-16,542,745,72.8
147,Sacred Heart (MAAC),31,14-17,368,506,72.7
148,Grand Canyon (WAC),30,23-7,557,766,72.7
149,Wichita St. (The American),31,18-13,469,645,72.7
150,Santa Clara (WCC),31,20-12,402,553,72.7
151,Miami (OH) (MAC),31,23-8,370,509,72.7
152,Morgan St. (MEAC),30,13-17,487,670,72.7
153,Longwood (Big South),32,18-14,604,831,72.7
154,Missouri (SEC),31,21-10,607,836,72.6
155,NC State (ACC),31,12-19,421,580,72.6
156,Western Ky. (CUSA),31,17-14,433,597,72.5
157,Arizona St. (Big 12),31,13-18,464,640,72.5
158,Pacific (WCC),33,9-24,445,614,72.5
159,Sam Houston (CUSA),31,13-18,458,632,72.5
160,Cleveland St. (Horizon),32,21-11,421,581,72.5
161,CSUN (Big West),31,22-9,499,689,72.4
162,Omaha (Summit League),34,22-12,525,725,72.4
162,La Salle (Atlantic 10),31,13-18,420,580,72.4
162,Fairfield (MAAC),31,12-19,357,493,72.4
165,Jackson St. (SWAC),31,14-17,488,674,72.4
166,Marquette (Big East),31,22-9,367,507,72.4
167,LMU (CA) (WCC),32,17-15,385,532,72.4
168,LSU (SEC),31,14-17,424,586,72.4
169,Northern Colo. (Big Sky),32,24-8,441,610,72.3
170,William & Mary (CAA),32,17-15,467,646,72.3
171,Merrimack (MAAC),31,17-14,313,433,72.3
172,UAlbany (America East),32,17-15,409,566,72.3
173,Robert Morris (Horizon),32,24-8,521,721,72.3
174,Samford (SoCon),32,22-10,427,591,72.3
175,West Virginia (Big 12),31,19-12,328,454,72.2
176,Southeast Mo. St. (OVC),33,21-12,398,551,72.2
177,Central Mich. (MAC),31,14-17,473,655,72.2
178,Montana St. (Big Sky),31,14-17,395,547,72.2
179,Murray St. (MVC),33,16-17,542,751,72.2
180,SMU (ACC),31,22-9,489,678,72.1
181,Holy Cross (Patriot),32,13-19,287,398,72.1
182,Georgia (SEC),31,20-11,508,705,72.1
183,South Fla. (The American),31,13-18,456,633,72
184,Grambling (SWAC),31,10-21,407,565,72
185,Vermont (America East),32,21-11,381,529,72
186,Rider (MAAC),31,13-18,386,536,72
187,Austin Peay (ASUN),33,14-19,410,570,71.9
187,Boston College (ACC),31,12-19,410,570,71.9
189,Seattle U (WAC),30,13-17,515,716,71.9
190,UIC (MVC),31,17-14,445,619,71.9
191,Belmont (MVC),33,22-11,381,530,71.9
192,Florida St. (ACC),31,17-14,501,697,71.9
193,Central Ark. (ASUN),33,9-24,401,558,71.9
194,LIU (NEC),33,17-16,372,518,71.8
195,Col. of Charleston (CAA),32,24-8,476,663,71.8
196,Old Dominion (Sun Belt),35,15-20,480,669,71.7
197,UNLV (Mountain West),31,17-14,424,591,71.7
198,Michigan (Big Ten),31,22-9,462,644,71.7
199,East Carolina (The American),31,18-13,497,693,71.7
200,Alabama (SEC),31,24-7,580,809,71.7
201,Pepperdine (WCC),33,13-21,450,628,71.7
202,Alcorn (SWAC),31,11-20,394,550,71.6
203,Rutgers (Big Ten),31,15-16,487,680,71.6
204,UNC Asheville (Big South),32,21-11,491,686,71.6
205,Abilene Christian (WAC),31,16-15,464,649,71.5
206,Hofstra (CAA),33,15-18,341,477,71.5
207,Virginia Tech (ACC),31,13-18,369,517,71.4
208,South Dakota (Summit League),33,19-14,660,925,71.4
209,South Carolina (SEC),31,12-19,523,733,71.4
210,ULM (Sun Belt),32,7-25,423,593,71.3
211,Northwestern St. (Southland),30,15-15,388,544,71.3
212,Troy (Sun Belt),32,22-10,494,693,71.3
213,Kennesaw St. (CUSA),31,18-13,486,682,71.3
214,San Francisco (WCC),32,24-8,463,650,71.2
215,FIU (CUSA),31,9-22,443,622,71.2
216,Florida A&M (SWAC),29,13-16,408,573,71.2
217,Hampton (CAA),33,17-16,430,604,71.2
218,Syracuse (ACC),31,13-18,436,613,71.1
219,FDU (NEC),33,13-20,458,644,71.1
220,Florida (SEC),31,27-4,448,630,71.1
221,Bryant (America East),32,21-11,450,633,71.1
222,UTEP (CUSA),31,17-14,477,671,71.1
223,Memphis (The American),31,26-5,500,705,70.9
224,Indiana (Big Ten),31,19-12,439,619,70.9
225,DePaul (Big East),31,13-18,356,502,70.9
226,Fordham (Atlantic 10),31,11-20,438,618,70.9
227,North Dakota (Summit League),33,12-21,481,679,70.8
228,Kansas (Big 12),31,20-11,325,459,70.8
229,Princeton (Ivy League),29,19-10,308,435,70.8
230,George Mason (Atlantic 10),31,24-7,492,696,70.7
231,UTRGV (Southland),31,16-15,306,433,70.7
232,Wright St. (Horizon),33,15-18,368,521,70.6
233,Wagner (NEC),30,14-16,341,483,70.6
234,Georgetown (Big East),31,17-14,336,476,70.6
235,North Ala. (ASUN),34,24-10,472,669,70.6
235,Utah St. (Mountain West),31,25-6,472,669,70.6
237,UCLA (Big Ten),31,22-9,412,584,70.5
238,Iowa (Big Ten),31,16-15,364,516,70.5
239,Drake (MVC),33,30-3,498,706,70.5
240,Fla. Atlantic (The American),31,17-14,426,604,70.5
241,NIU (MAC),31,6-25,392,556,70.5
242,Chicago St. (NEC),32,4-28,351,498,70.5
243,Ball St. (MAC),31,14-17,553,785,70.4
244,Little Rock (OVC),33,19-14,386,548,70.4
245,South Carolina St. (MEAC),30,18-12,548,778,70.4
246,South Alabama (Sun Belt),32,21-11,433,615,70.4
247,McNeese (Southland),31,25-6,437,621,70.4
248,Weber St. (Big Sky),34,12-22,459,653,70.3
249,Coastal Carolina (Sun Belt),32,10-22,417,594,70.2
250,Marist (MAAC),29,20-9,259,369,70.2
251,Mississippi St. (SEC),31,20-11,439,626,70.1
252,Oakland (Horizon),33,16-17,411,587,70
253,Buffalo (MAC),31,9-22,431,616,70
254,George Washington (Atlantic 10),31,20-11,489,699,70
255,UT Martin (OVC),33,14-19,477,682,69.9
256,Drexel (CAA),33,18-15,328,469,69.9
257,Washington St. (WCC),33,19-14,433,620,69.8
258,Saint Mary's (CA) (WCC),31,27-4,400,573,69.8
259,Tennessee Tech (OVC),32,15-17,379,543,69.8
260,UNI (MVC),32,20-12,427,612,69.8
261,Nevada (Mountain West),31,16-15,438,628,69.7
262,Penn (Ivy League),27,8-19,318,456,69.7
263,Evansville (MVC),32,11-21,373,535,69.7
264,Loyola Maryland (Patriot),31,12-19,366,525,69.7
265,Alabama St. (SWAC),31,16-15,410,589,69.6
266,Texas A&M (SEC),31,22-9,529,760,69.6
267,Rhode Island (Atlantic 10),30,18-12,504,725,69.5
268,Prairie View (SWAC),31,5-26,431,620,69.5
269,Utah Tech (WAC),31,6-25,414,596,69.5
270,BYU (Big 12),31,23-8,391,563,69.4
271,Presbyterian (Big South),32,14-18,409,589,69.4
272,Fresno St. (Mountain West),31,6-25,466,672,69.3
273,Bethune-Cookman (SWAC),31,16-15,447,645,69.3
274,Binghamton (America East),32,15-17,404,583,69.3
275,Marshall (Sun Belt),33,20-13,473,683,69.3
276,UMBC (America East),32,13-19,414,598,69.2
277,Gardner-Webb (Big South),31,11-20,445,643,69.2
278,Southern Miss. (Sun Belt),33,11-22,451,652,69.2
279,Western Ill. (OVC),31,12-19,334,483,69.2
280,New Mexico (Mountain West),31,25-6,510,738,69.1
281,Lamar University (Southland),31,19-12,359,520,69
282,FGCU (ASUN),32,18-14,298,432,69
283,Saint Louis (Atlantic 10),31,18-13,357,518,68.9
284,N.C. Central (MEAC),31,13-18,488,709,68.8
285,St. John's (NY) (Big East),31,27-4,435,632,68.8
286,Houston Christian (Southland),32,12-20,376,547,68.7
287,Northeastern (CAA),32,17-15,356,518,68.7
288,N.C. A&T (CAA),32,7-25,416,606,68.6
289,Georgia St. (Sun Belt),33,14-19,450,656,68.6
290,Providence (Big East),31,12-19,369,538,68.6
291,Kansas St. (Big 12),31,15-16,351,512,68.6
292,Army West Point (Patriot),31,16-15,331,483,68.5
293,North Florida (ASUN),32,15-17,354,517,68.5
294,Lafayette (Patriot),33,13-20,386,564,68.4
295,Milwaukee (Horizon),32,21-11,507,741,68.4
296,Towson (CAA),32,22-10,369,540,68.3
297,Lehigh (Patriot),30,11-19,358,524,68.3
298,Rice (The American),31,13-18,512,750,68.3
299,Washington (Big Ten),31,13-18,425,623,68.2
300,Coppin St. (MEAC),29,6-23,399,585,68.2
301,Furman (SoCon),33,25-8,448,657,68.2
302,Nicholls (Southland),31,19-12,422,619,68.2
303,Georgia Tech (ACC),31,16-15,400,587,68.1
304,Utah Valley (WAC),30,23-7,479,703,68.1
305,Tennessee St. (OVC),33,17-16,540,793,68.1
306,Iona (MAAC),31,15-16,360,529,68.1
307,Jacksonville (ASUN),32,19-13,379,557,68
308,New Mexico St. (CUSA),31,17-14,412,606,68
309,UIW (Southland),32,17-15,352,518,68
310,Eastern Ill. (OVC),31,12-19,412,608,67.8
311,Middle Tenn. (CUSA),31,21-10,414,612,67.6
312,SIUE (OVC),33,22-11,431,638,67.6
313,Southern Ill. (MVC),33,14-19,433,641,67.6
314,USC Upstate (Big South),32,6-26,409,606,67.5
315,Morehead St. (OVC),32,15-17,444,658,67.5
316,Sacramento St. (Big Sky),32,7-25,365,541,67.5
317,Western Mich. (MAC),31,12-19,407,604,67.4
318,Massachusetts (Atlantic 10),31,12-19,454,678,67
319,UMES (MEAC),30,6-24,395,590,66.9
320,Northern Ky. (Horizon),33,17-16,409,611,66.9
321,New Orleans (Southland),31,4-27,417,623,66.9
322,UT Arlington (WAC),30,13-17,423,633,66.8
323,Winthrop (Big South),34,23-11,648,970,66.8
324,San Diego St. (Mountain West),29,21-8,352,527,66.8
325,Seton Hall (Big East),31,7-24,382,573,66.7
326,Loyola Chicago (Atlantic 10),31,21-10,384,578,66.4
327,Bucknell (Patriot),33,18-15,451,679,66.4
328,Boston U. (Patriot),32,16-16,362,546,66.3
329,Liberty (CUSA),31,25-6,345,521,66.2
330,Alabama A&M (SWAC),31,10-21,480,725,66.2
331,Charleston So. (Big South),32,10-22,536,810,66.2
332,Southern U. (SWAC),31,20-11,467,706,66.1
333,ETSU (SoCon),32,19-13,400,605,66.1
334,Northern Ariz. (Big Sky),33,18-15,395,598,66.1
335,Cincinnati (Big 12),31,17-14,286,433,66.1
336,Mississippi Val. (SWAC),31,3-28,318,482,66
337,New Hampshire (America East),32,8-24,331,502,65.9
338,Ga. Southern (Sun Belt),33,17-16,362,550,65.8
339,Minnesota (Big Ten),31,15-16,360,547,65.8
340,Missouri St. (MVC),32,9-23,395,602,65.6
341,Tulsa (The American),31,12-19,389,594,65.5
342,Mercer (SoCon),33,14-19,400,611,65.5
343,Wofford (SoCon),33,18-15,382,584,65.4
344,Wyoming (Mountain West),31,12-19,339,519,65.3
345,Duquesne (Atlantic 10),31,13-18,347,532,65.2
346,TCU (Big 12),31,16-15,397,609,65.2
347,App State (Sun Belt),31,17-14,386,593,65.1
348,Utah (Big 12),31,16-15,434,678,64
349,A&M-Corpus Christi (Southland),33,20-13,430,679,63.3
350,SFA (Southland),31,14-17,362,572,63.3
351,Portland St. (Big Sky),31,19-12,386,611,63.2
352,Brown (Ivy League),27,14-13,283,448,63.2
353,Air Force (Mountain West),31,4-27,355,563,63.1
354,The Citadel (SoCon),30,5-25,359,582,61.7
355,Ark.-Pine Bluff (SWAC),31,6-25,349,589,59.3