Rank,Team,GM,W-L,OPP PTS,OPP PPG
1,Houston (Big 12),31,27-4,"1,802",58.1
2,Drake (MVC),33,30-3,"1,928",58.4
3,North Texas (The American),30,23-7,"1,785",59.5
4,Wagner (NEC),30,14-16,"1,818",60.6
5,Saint Mary's (CA) (WCC),31,27-4,"1,885",60.8
6,Duke (ACC),31,28-3,"1,902",61.4
7,Tennessee (SEC),31,25-6,"1,920",61.9
8,UC San Diego (Big West),32,28-4,"1,983",62
9,Liberty (CUSA),31,25-6,"1,932",62.3
10,VCU (Atlantic 10),31,25-6,"1,944",62.7
11,George Mason (Atlantic 10),31,24-7,"1,955",63.1
12,Central Conn. St. (NEC),31,25-6,"1,966",63.4
13,App State (Sun Belt),31,17-14,"1,970",63.5
14,San Diego St. (Mountain West),29,21-8,"1,845",63.6
15,Vermont (America East),32,21-11,"2,049",64
16,McNeese (Southland),31,25-6,"1,995",64.4
17,Merrimack (MAAC),31,17-14,"2,001",64.5
18,Marist (MAAC),29,20-9,"1,872",64.6
19,South Alabama (Sun Belt),32,21-11,"2,066",64.6
20,West Virginia (Big 12),31,19-12,"2,007",64.7
21,St. Bonaventure (Atlantic 10),31,21-10,"2,008",64.8
22,Hofstra (CAA),33,15-18,"2,141",64.9
23,Troy (Sun Belt),32,22-10,"2,078",64.9
24,UCLA (Big Ten),31,22-9,"2,017",65.1
25,Cincinnati (Big 12),31,17-14,"2,025",65.3
26,LIU (NEC),33,17-16,"2,156",65.3
27,UNC Greensboro (SoCon),32,20-12,"2,092",65.4
28,New Mexico St. (CUSA),31,17-14,"2,030",65.5
29,UC Irvine (Big West),32,27-5,"2,098",65.6
30,Clemson (ACC),31,26-5,"2,037",65.7
31,Saint Peter's (MAAC),28,12-16,"1,842",65.8
32,SIUE (OVC),33,22-11,"2,182",66.1
33,Lamar University (Southland),31,19-12,"2,052",66.2
34,Towson (CAA),32,22-10,"2,119",66.2
35,St. John's (NY) (Big East),31,27-4,"2,054",66.3
36,Cleveland St. (Horizon),32,21-11,"2,122",66.3
37,Boise St. (Mountain West),31,22-9,"2,056",66.3
38,Seattle U (WAC),30,13-17,"1,994",66.5
39,Maine (America East),32,19-13,"2,127",66.5
40,ETSU (SoCon),32,19-13,"2,128",66.5
41,Maryland (Big Ten),31,24-7,"2,065",66.6
42,Texas Tech (Big 12),31,24-7,"2,070",66.8
43,Virginia (ACC),31,15-16,"2,071",66.8
44,Drexel (CAA),33,18-15,"2,207",66.9
45,George Washington (Atlantic 10),31,20-11,"2,077",67
46,Southeast Mo. St. (OVC),33,21-12,"2,212",67
47,Michigan St. (Big Ten),31,26-5,"2,078",67
48,Texas A&M (SEC),31,22-9,"2,080",67.1
49,UNI (MVC),32,20-12,"2,150",67.2
50,Kansas City (Summit League),33,13-20,"2,218",67.2
51,Little Rock (OVC),33,19-14,"2,219",67.2
52,Lipscomb (ASUN),34,25-9,"2,289",67.3
53,A&M-Corpus Christi (Southland),33,20-13,"2,225",67.4
54,Duquesne (Atlantic 10),31,13-18,"2,091",67.5
55,Colorado St. (Mountain West),31,22-9,"2,094",67.5
55,Iowa St. (Big 12),31,23-8,"2,094",67.5
57,Marquette (Big East),31,22-9,"2,096",67.6
58,Villanova (Big East),31,18-13,"2,099",67.7
59,American (Patriot),33,21-12,"2,235",67.7
60,Campbell (CAA),32,15-17,"2,169",67.8
61,Kansas (Big 12),31,20-11,"2,104",67.9
62,Wake Forest (ACC),31,21-10,"2,109",68
63,Nevada (Mountain West),31,16-15,"2,110",68.1
64,Utah Valley (WAC),30,23-7,"2,042",68.1
65,Louisiana Tech (CUSA),31,20-11,"2,111",68.1
66,Florida (SEC),31,27-4,"2,114",68.2
67,Kent St. (MAC),31,21-10,"2,118",68.3
67,SFA (Southland),31,14-17,"2,118",68.3
67,UConn (Big East),31,22-9,"2,118",68.3
70,Grambling (SWAC),31,10-21,"2,119",68.4
70,Southern U. (SWAC),31,20-11,"2,119",68.4
70,UNLV (Mountain West),31,17-14,"2,119",68.4
73,San Francisco (WCC),32,24-8,"2,188",68.4
74,Saint Joseph's (Atlantic 10),31,20-11,"2,121",68.4
75,Boston U. (Patriot),32,16-16,"2,191",68.5
76,Louisville (ACC),31,25-6,"2,124",68.5
77,Grand Canyon (WAC),30,23-7,"2,058",68.6
77,Northwestern St. (Southland),30,15-15,"2,058",68.6
79,TCU (Big 12),31,16-15,"2,130",68.7
80,Morehead St. (OVC),32,15-17,"2,199",68.7
81,Georgetown (Big East),31,17-14,"2,131",68.7
81,Jacksonville St. (CUSA),31,20-11,"2,131",68.7
83,Oregon St. (WCC),32,20-12,"2,200",68.8
83,UIW (Southland),32,17-15,"2,200",68.8
85,High Point (Big South),34,29-5,"2,338",68.8
86,Bradley (MVC),34,26-8,"2,339",68.8
87,UC Santa Barbara (Big West),31,19-12,"2,133",68.8
88,Lafayette (Patriot),33,13-20,"2,274",68.9
89,Georgia (SEC),31,20-11,"2,137",68.9
90,Furman (SoCon),33,25-8,"2,276",69
91,Creighton (Big East),31,22-9,"2,139",69
91,Loyola Chicago (Atlantic 10),31,21-10,"2,139",69
93,Eastern Ill. (OVC),31,12-19,"2,140",69
94,Murray St. (MVC),33,16-17,"2,282",69.2
95,Portland St. (Big Sky),31,19-12,"2,147",69.3
96,Northwestern (Big Ten),31,16-15,"2,148",69.3
97,Baylor (Big 12),31,18-13,"2,150",69.4
97,Tulane (The American),31,18-13,"2,150",69.4
99,Wofford (SoCon),33,18-15,"2,289",69.4
100,Houston Christian (Southland),32,12-20,"2,220",69.4
101,Arkansas St. (Sun Belt),33,24-9,"2,291",69.4
102,Norfolk St. (MEAC),31,21-10,"2,155",69.5
103,Idaho St. (Big Sky),29,15-14,"2,019",69.6
104,Minnesota (Big Ten),31,15-16,"2,159",69.6
105,Northeastern (CAA),32,17-15,"2,229",69.7
106,Yale (Ivy League),27,20-7,"1,881",69.7
107,Kansas St. (Big 12),31,15-16,"2,161",69.7
108,Elon (CAA),32,17-15,"2,232",69.8
108,Southeastern La. (Southland),32,18-14,"2,232",69.8
110,UC Davis (Big West),31,15-16,"2,163",69.8
111,FGCU (ASUN),32,18-14,"2,233",69.8
112,Montana St. (Big Sky),31,14-17,"2,166",69.9
113,Nicholls (Southland),31,19-12,"2,168",69.9
113,Utah St. (Mountain West),31,25-6,"2,168",69.9
115,UNCW (CAA),32,25-7,"2,238",69.9
116,Dayton (Atlantic 10),31,22-9,"2,169",70
117,Hampton (CAA),33,17-16,"2,309",70
118,Auburn (SEC),31,27-4,"2,170",70
119,Robert Morris (Horizon),32,24-8,"2,241",70
120,Gonzaga (WCC),31,23-8,"2,171",70
121,Tarleton St. (WAC),31,12-19,"2,172",70.1
122,BYU (Big 12),31,23-8,"2,173",70.1
122,Saint Louis (Atlantic 10),31,18-13,"2,173",70.1
124,Radford (Big South),33,20-13,"2,314",70.1
125,Navy (Patriot),33,15-18,"2,319",70.3
126,Seton Hall (Big East),31,7-24,"2,179",70.3
126,Xavier (Big East),31,21-10,"2,179",70.3
128,Abilene Christian (WAC),31,16-15,"2,181",70.4
128,Stanford (ACC),31,19-12,"2,181",70.4
130,NC State (ACC),31,12-19,"2,183",70.4
131,Rice (The American),31,13-18,"2,185",70.5
132,California Baptist (WAC),30,16-14,"2,115",70.5
132,James Madison (Sun Belt),32,20-12,"2,256",70.5
134,Davidson (Atlantic 10),31,16-15,"2,186",70.5
135,Sacramento St. (Big Sky),32,7-25,"2,257",70.5
136,North Ala. (ASUN),34,24-10,"2,400",70.6
137,Purdue (Big Ten),31,21-10,"2,189",70.6
137,UTEP (CUSA),31,17-14,"2,189",70.6
139,Evansville (MVC),32,11-21,"2,263",70.7
139,Presbyterian (Big South),32,14-18,"2,263",70.7
141,Iona (MAAC),31,15-16,"2,195",70.8
142,Arkansas (SEC),31,19-12,"2,197",70.9
143,Missouri St. (MVC),32,9-23,"2,268",70.9
144,South Carolina St. (MEAC),30,18-12,"2,128",70.9
145,Wisconsin (Big Ten),31,23-8,"2,199",70.9
146,Jacksonville (ASUN),32,19-13,"2,273",71
147,Coastal Carolina (Sun Belt),32,10-22,"2,275",71.1
148,Loyola Maryland (Patriot),31,12-19,"2,205",71.1
149,Northern Ariz. (Big Sky),33,18-15,"2,350",71.2
150,Hawaii (Big West),31,15-16,"2,208",71.2
150,Oregon (Big Ten),31,23-8,"2,208",71.2
152,Mount St. Mary's (MAAC),31,19-12,"2,211",71.3
152,New Mexico (Mountain West),31,25-6,"2,211",71.3
152,Western Ill. (OVC),31,12-19,"2,211",71.3
152,Wyoming (Mountain West),31,12-19,"2,211",71.3
156,Dartmouth (Ivy League),27,14-13,"1,926",71.3
157,Middle Tenn. (CUSA),31,21-10,"2,212",71.4
157,Pittsburgh (ACC),31,17-14,"2,212",71.4
157,Texas (SEC),31,17-14,"2,212",71.4
160,Quinnipiac (MAAC),31,19-12,"2,213",71.4
161,Niagara (MAAC),31,11-20,"2,214",71.4
161,South Carolina (SEC),31,12-19,"2,214",71.4
163,Oakland (Horizon),33,16-17,"2,357",71.4
164,Old Dominion (Sun Belt),35,15-20,"2,500",71.4
165,Lehigh (Patriot),30,11-19,"2,143",71.4
166,Binghamton (America East),32,15-17,"2,287",71.5
167,Rider (MAAC),31,13-18,"2,216",71.5
168,LMU (CA) (WCC),32,17-15,"2,290",71.6
169,Brown (Ivy League),27,14-13,"1,933",71.6
170,Michigan (Big Ten),31,22-9,"2,221",71.6
170,Ole Miss (SEC),31,21-10,"2,221",71.6
172,Marshall (Sun Belt),33,20-13,"2,366",71.7
173,Texas Southern (SWAC),31,15-16,"2,223",71.7
173,Utah (Big 12),31,16-15,"2,223",71.7
175,Milwaukee (Horizon),32,21-11,"2,295",71.7
176,Colorado (Big 12),31,12-19,"2,226",71.8
177,Weber St. (Big Sky),34,12-22,"2,443",71.9
178,Siena (MAAC),31,14-17,"2,229",71.9
179,UT Martin (OVC),33,14-19,"2,373",71.9
180,Illinois St. (MVC),33,19-14,"2,374",71.9
181,Youngstown St. (Horizon),32,20-12,"2,303",72
182,Chattanooga (SoCon),33,24-9,"2,375",72
183,Northern Ky. (Horizon),33,17-16,"2,377",72
184,Indiana (Big Ten),31,19-12,"2,233",72
184,Richmond (Atlantic 10),31,10-21,"2,233",72
186,Harvard (Ivy League),27,12-15,"1,945",72
187,Arizona (Big 12),31,20-11,"2,234",72.1
188,Holy Cross (Patriot),32,13-19,"2,307",72.1
189,Central Mich. (MAC),31,14-17,"2,237",72.2
189,SMU (ACC),31,22-9,"2,237",72.2
191,Alcorn (SWAC),31,11-20,"2,238",72.2
192,CSUN (Big West),31,22-9,"2,241",72.3
193,Colgate (Patriot),33,14-19,"2,388",72.4
194,Providence (Big East),31,12-19,"2,245",72.4
194,Wichita St. (The American),31,18-13,"2,245",72.4
196,Saint Francis (NEC),32,15-17,"2,320",72.5
197,Princeton (Ivy League),29,19-10,"2,103",72.5
198,Bethune-Cookman (SWAC),31,16-15,"2,250",72.6
199,Georgia Tech (ACC),31,16-15,"2,252",72.6
200,Fairfield (MAAC),31,12-19,"2,253",72.7
200,Florida St. (ACC),31,17-14,"2,253",72.7
200,Santa Clara (WCC),31,20-12,"2,253",72.7
203,FIU (CUSA),31,9-22,"2,254",72.7
204,Northern Colo. (Big Sky),32,24-8,"2,327",72.7
205,Miami (OH) (MAC),31,23-8,"2,258",72.8
206,Alabama St. (SWAC),31,16-15,"2,259",72.9
206,Kennesaw St. (CUSA),31,18-13,"2,259",72.9
206,Nebraska (Big Ten),31,17-14,"2,259",72.9
206,Virginia Tech (ACC),31,13-18,"2,259",72.9
210,Memphis (The American),31,26-5,"2,261",72.9
211,Notre Dame (ACC),31,14-17,"2,262",73
212,Louisiana (Sun Belt),33,12-21,"2,410",73
213,LSU (SEC),31,14-17,"2,264",73
214,VMI (SoCon),34,15-19,"2,487",73.1
215,Bucknell (Patriot),33,18-15,"2,414",73.2
216,FDU (NEC),33,13-20,"2,415",73.2
217,Montana (Big Sky),32,23-9,"2,342",73.2
218,Missouri (SEC),31,21-10,"2,269",73.2
218,NJIT (America East),31,6-25,"2,269",73.2
220,Bowling Green (MAC),31,14-17,"2,270",73.2
220,Penn St. (Big Ten),31,16-15,"2,270",73.2
222,Tennessee St. (OVC),33,17-16,"2,418",73.3
223,Texas St. (Sun Belt),32,16-16,"2,346",73.3
223,UAlbany (America East),32,17-15,"2,346",73.3
225,East Carolina (The American),31,18-13,"2,275",73.4
226,Ohio St. (Big Ten),31,17-14,"2,276",73.4
227,South Dakota St. (Summit League),32,20-12,"2,352",73.5
228,UC Riverside (Big West),32,21-11,"2,353",73.5
229,Illinois (Big Ten),31,20-11,"2,280",73.5
230,Tulsa (The American),31,12-19,"2,282",73.6
231,CSU Bakersfield (Big West),32,14-18,"2,359",73.7
232,UIC (MVC),31,17-14,"2,286",73.7
233,Southern Utah (WAC),30,12-18,"2,213",73.8
234,Butler (Big East),31,13-18,"2,287",73.8
235,Air Force (Mountain West),31,4-27,"2,289",73.8
236,Valparaiso (MVC),34,15-19,"2,513",73.9
237,UTRGV (Southland),31,16-15,"2,294",74
238,Col. of Charleston (CAA),32,24-8,"2,369",74
238,Longwood (Big South),32,18-14,"2,369",74
238,San Jose St. (Mountain West),32,14-18,"2,369",74
241,UT Arlington (WAC),30,13-17,"2,222",74.1
242,Tennessee Tech (OVC),32,15-17,"2,371",74.1
242,UMass Lowell (America East),32,17-15,"2,371",74.1
244,DePaul (Big East),31,13-18,"2,297",74.1
245,Stony Brook (CAA),32,8-24,"2,372",74.1
246,Delaware St. (MEAC),29,16-13,"2,150",74.1
247,Bryant (America East),32,21-11,"2,374",74.2
247,Long Beach St. (Big West),32,7-25,"2,374",74.2
249,Ball St. (MAC),31,14-17,"2,300",74.2
249,Mississippi St. (SEC),31,20-11,"2,300",74.2
251,Akron (MAC),31,25-6,"2,303",74.3
252,Manhattan (MAAC),29,17-12,"2,156",74.3
253,Southern Ill. (MVC),33,14-19,"2,458",74.5
254,Oklahoma (SEC),31,19-12,"2,310",74.5
255,North Dakota St. (Summit League),32,21-11,"2,386",74.6
256,South Fla. (The American),31,13-18,"2,312",74.6
257,Purdue Fort Wayne (Horizon),32,19-13,"2,388",74.6
258,Vanderbilt (SEC),31,20-11,"2,314",74.6
259,Rhode Island (Atlantic 10),30,18-12,"2,240",74.7
260,La Salle (Atlantic 10),31,13-18,"2,319",74.8
261,Massachusetts (Atlantic 10),31,12-19,"2,321",74.9
262,Austin Peay (ASUN),33,14-19,"2,472",74.9
263,Omaha (Summit League),34,22-12,"2,551",75
264,Southern California (Big Ten),31,15-16,"2,326",75
265,The Citadel (SoCon),30,5-25,"2,251",75
266,Army West Point (Patriot),31,16-15,"2,327",75.1
267,Florida A&M (SWAC),29,13-16,"2,177",75.1
268,Western Ky. (CUSA),31,17-14,"2,328",75.1
269,Samford (SoCon),32,22-10,"2,406",75.2
270,Eastern Ky. (ASUN),32,18-14,"2,408",75.3
271,Mercer (SoCon),33,14-19,"2,485",75.3
272,Charlotte (The American),31,10-21,"2,335",75.3
273,N.C. Central (MEAC),31,13-18,"2,336",75.4
274,Monmouth (CAA),33,13-20,"2,487",75.4
275,Washington (Big Ten),31,13-18,"2,339",75.5
276,Eastern Wash. (Big Sky),32,10-22,"2,415",75.5
277,Fla. Atlantic (The American),31,17-14,"2,341",75.5
278,ULM (Sun Belt),32,7-25,"2,417",75.5
279,Idaho (Big Sky),31,13-18,"2,345",75.6
280,Pacific (WCC),33,9-24,"2,500",75.8
281,Boston College (ACC),31,12-19,"2,349",75.8
281,Jackson St. (SWAC),31,14-17,"2,349",75.8
283,Detroit Mercy (Horizon),32,8-24,"2,428",75.9
284,Ga. Southern (Sun Belt),33,17-16,"2,505",75.9
285,Sam Houston (CUSA),31,13-18,"2,354",75.9
286,Southern Miss. (Sun Belt),33,11-22,"2,507",76
287,Sacred Heart (MAAC),31,14-17,"2,357",76
288,North Carolina (ACC),32,20-12,"2,435",76.1
289,Ohio (MAC),31,16-15,"2,359",76.1
290,Western Mich. (MAC),31,12-19,"2,360",76.1
291,N.C. A&T (CAA),32,7-25,"2,437",76.2
292,Oklahoma St. (Big 12),31,15-16,"2,361",76.2
293,Wright St. (Horizon),33,15-18,"2,520",76.4
294,Eastern Mich. (MAC),31,16-15,"2,368",76.4
295,William & Mary (CAA),32,17-15,"2,445",76.4
296,Utah Tech (WAC),31,6-25,"2,369",76.4
297,UAB (The American),31,20-11,"2,373",76.5
298,New Hampshire (America East),32,8-24,"2,450",76.6
298,UNC Asheville (Big South),32,21-11,"2,450",76.6
300,Belmont (MVC),33,22-11,"2,529",76.6
301,Arizona St. (Big 12),31,13-18,"2,376",76.6
302,Coppin St. (MEAC),29,6-23,"2,224",76.7
303,Pepperdine (WCC),33,13-21,"2,531",76.7
304,IU Indy (Horizon),32,10-22,"2,458",76.8
305,California (ACC),31,13-18,"2,383",76.9
305,NIU (MAC),31,6-25,"2,383",76.9
307,Rutgers (Big Ten),31,15-16,"2,385",76.9
308,Kentucky (SEC),31,21-10,"2,387",77
309,UTSA (The American),30,12-18,"2,312",77.1
310,Cornell (Ivy League),27,17-10,"2,087",77.3
311,Cal St. Fullerton (Big West),32,6-26,"2,475",77.3
312,Penn (Ivy League),27,8-19,"2,089",77.4
313,Denver (Summit League),32,11-21,"2,483",77.6
314,UMES (MEAC),30,6-24,"2,333",77.8
315,Temple (The American),31,17-14,"2,412",77.8
316,Fordham (Atlantic 10),31,11-20,"2,414",77.9
317,Winthrop (Big South),34,23-11,"2,651",78
318,Delaware (CAA),34,15-19,"2,655",78.1
319,Columbia (Ivy League),27,12-15,"2,109",78.1
320,Central Ark. (ASUN),33,9-24,"2,578",78.1
321,Gardner-Webb (Big South),31,11-20,"2,422",78.1
322,Charleston So. (Big South),32,10-22,"2,503",78.2
323,Georgia St. (Sun Belt),33,14-19,"2,583",78.3
324,Washington St. (WCC),33,19-14,"2,586",78.4
325,Syracuse (ACC),31,13-18,"2,431",78.4
326,Oral Roberts (Summit League),30,7-23,"2,356",78.5
327,Canisius (MAAC),31,3-28,"2,437",78.6
328,Chicago St. (NEC),32,4-28,"2,518",78.7
329,UMBC (America East),32,13-19,"2,522",78.8
330,Alabama A&M (SWAC),31,10-21,"2,446",78.9
331,Howard (MEAC),31,12-19,"2,447",78.9
332,Western Caro. (SoCon),30,8-22,"2,371",79
333,Iowa (Big Ten),31,16-15,"2,454",79.2
334,Toledo (MAC),31,17-14,"2,460",79.4
335,North Dakota (Summit League),33,12-21,"2,624",79.5
336,Indiana St. (MVC),32,14-18,"2,545",79.5
337,San Diego (WCC),33,6-27,"2,629",79.7
338,UCF (Big 12),31,16-15,"2,474",79.8
339,Bellarmine (ASUN),31,5-26,"2,484",80.1
340,Green Bay (Horizon),32,4-28,"2,570",80.3
341,Portland (WCC),32,12-20,"2,574",80.4
342,Fresno St. (Mountain West),31,6-25,"2,496",80.5
343,Miami (FL) (ACC),31,7-24,"2,500",80.6
344,Mississippi Val. (SWAC),31,3-28,"2,506",80.8
345,Buffalo (MAC),31,9-22,"2,508",80.9
346,Alabama (SEC),31,24-7,"2,513",81.1
347,Morgan St. (MEAC),30,13-17,"2,436",81.2
348,Stetson (ASUN),32,8-24,"2,608",81.5
349,New Orleans (Southland),31,4-27,"2,556",82.5
350,Prairie View (SWAC),31,5-26,"2,562",82.6
351,Cal Poly (Big West),32,14-18,"2,646",82.7
352,USC Upstate (Big South),32,6-26,"2,673",83.5
353,South Dakota (Summit League),33,19-14,"2,763",83.7
354,Ark.-Pine Bluff (SWAC),31,6-25,"2,602",83.9
355,North Florida (ASUN),32,15-17,"2,712",84.8